date,yhat,yhat_lo_80,yhat_hi_80
2026-01-01,101.78788402041695,67.02948242018661,120.4298747517508
2026-01-02,104.59223434377684,63.14600606640985,127.58100483739072
2026-01-03,115.93081450031298,69.50260926378856,125.98429641341286
2026-01-04,117.36049069909362,75.82065867523528,137.83088396509478
2026-01-05,119.08926093943658,85.77169786115202,136.32155831690423
2026-01-06,118.51050050300204,90.79687420980977,136.4806169316649
2026-01-07,110.31572333476208,89.65645628611855,129.0014052871376
2026-01-08,97.75830954874763,67.82812771774505,133.21436918449078
2026-01-09,98.80060530224512,67.60965308050474,129.3068120779398
2026-01-10,100.20662607569197,69.66679809105493,132.92136817458928
2026-01-11,102.47102132061185,67.61550721113962,139.0021951351463
2026-01-12,105.19043768612147,77.88033672434128,135.38416965425523
2026-01-13,101.59340821166128,71.65078726056906,133.69716852550982
2026-01-14,101.35402533317698,74.89511736865595,130.880764842257
2026-01-15,93.13909281056296,68.00616128152787,128.3967078635616
2026-01-16,97.5464837761177,69.50491632889748,131.4265231519451
2026-01-17,99.12131495452257,72.01844877842709,133.87852697651095
2026-01-18,101.68223780266973,73.25057318556453,134.5000173458122
2026-01-19,107.05774788303313,79.51708579691038,133.1652541106767
2026-01-20,106.65977725528946,78.2050016022628,133.59522313209138
2026-01-21,103.21670578073265,76.02730775728871,131.42899061987615
2026-01-22,97.10840422548135,66.70452505375131,129.9093658455223
2026-01-23,97.18541682427927,65.72071528479285,130.8419862415016
2026-01-24,99.84044117890451,70.74045827711399,132.6935501437655
2026-01-25,103.06456820078056,72.51433982896667,134.36186183061437
2026-01-26,105.79572768257742,77.13977734573191,132.79640762378315
2026-01-27,106.05241462855874,75.33492625553305,133.50522921788905
2026-01-28,103.34210503007567,73.02976176040251,130.96833653080932
2026-01-29,72.93269823628212,59.33762728424482,127.51029408194489
2026-01-30,72.72925712334141,58.98199382884464,127.6448338216074
2026-01-31,72.93397365949241,62.40674598333551,130.4356427137302
2026-02-01,72.12828748225218,58.58853124242749,132.25027008350398
2026-02-02,76.75851359408529,66.17159006122034,130.61454569790794
2026-02-03,76.57673531389167,66.03176099421037,131.0559331036152
2026-02-04,76.57389681541969,65.80492132769392,129.34300745862345
2026-02-05,69.70179835162548,54.794663673173126,128.57987521905494
2026-02-06,69.55818709842384,57.32270828175342,129.22935112471825
2026-02-07,71.19326544030604,60.44567126806575,131.7918795420207
2026-02-08,71.96129225262477,61.94184536597833,132.29800060795435
2026-02-09,78.40851809761067,68.38410392160608,130.64195275585814
2026-02-10,78.2195666389146,68.30983400400122,130.79624126937648
2026-02-11,78.10311508305904,67.79144943636604,129.04661657416148
2026-02-12,70.76824640685959,57.00890212825033,128.08611755460316
2026-02-13,70.69270413327618,56.44516901617876,126.77762221152148
2026-02-14,71.23844990058582,60.242406188677755,129.38651581787983
2026-02-15,72.11907375080001,62.90918727778838,129.91554760441852
2026-02-16,78.20595211277656,69.67494397638305,129.4303802861925
2026-02-17,78.00734432526808,69.58420055972225,129.76035804626656
2026-02-18,77.91230661624854,68.65332353385561,127.91294915896312
2026-02-19,70.99407697932149,59.618534388883994,127.12634242319386
2026-02-20,70.48275812832597,59.00221759902807,126.59060719232897
2026-02-21,70.98204203811814,62.33929975664755,129.32535161226983
2026-02-22,72.23156379537788,62.92966528942871,129.9251200155355
2026-02-23,78.91638142629299,69.29277389687722,130.04849139368395
2026-02-24,78.72742996759695,69.37621997431876,129.13842440158774
2026-02-25,78.63808187749551,68.83591355216716,127.62897761438089
2026-02-26,71.7210138742273,58.88588635666953,126.5520360872734
2026-02-27,71.47179672849659,58.29801299552408,126.13683387765874
2026-02-28,72.20447139972194,61.6929968879073,128.67249420953578
2026-03-01,72.18760751105887,58.151417346489815,131.084622005706
2026-03-02,76.98109321987693,64.60303787838126,130.28295390008861
2026-03-03,76.79931493968334,64.46320881137123,130.5344573829357
2026-03-04,76.79647644121133,64.231269614239,128.821531737944
2026-03-05,69.948336988519,53.938321497431346,128.06754763479975
2026-03-06,69.83516876020923,56.80488524013887,128.4705906663585
2026-03-07,71.47024710209142,59.93129838966003,131.0381898948711
2026-03-08,72.22414690098226,61.52958567463781,131.55089270960033
2026-03-09,78.31841022249425,66.35842814629099,129.92632107922788
2026-03-10,78.12945876379821,66.28415822868612,130.078363109834
2026-03-11,78.01300720794265,65.76067413043519,128.418141873731
2026-03-12,70.70209754284505,56.17059840264105,127.46321976480182
2026-03-13,70.65699829415354,55.94538442469671,126.19196831035107
2026-03-14,71.20274406146318,59.74607176040453,128.80102791812305
2026-03-15,72.02712996387758,62.514966036580354,129.52335554499706
2026-03-16,77.68019793040277,66.47710991035434,128.94265435969865
2026-03-17,77.48159014289429,66.38636649369353,129.0426888629418
2026-03-18,77.38655243387475,65.45038993721124,127.26644148377059
2026-03-19,70.49228180804961,58.72119147849961,126.40023867571799
2026-03-20,69.85330999503597,58.44339382277092,125.90174733348425
2026-03-21,70.35259390482814,61.790885466279555,128.52124997971836
2026-03-22,71.60211566208785,62.48336418612592,129.12101838298403
2026-03-23,78.27152022995796,65.88232679057232,129.37135991042183
2026-03-24,78.08256877126192,65.89859351610536,128.46008773867462
2026-03-25,77.96737915229262,65.35318756333805,127.02180245959964
2026-03-26,71.07427016012626,58.42109570982928,125.8625913185181
2026-03-27,70.85549603928742,58.171741482811065,125.39797247309465
2026-03-28,71.5881707105128,61.57368469787461,127.94696205391575
2026-03-29,72.32444740517772,62.25819216178203,128.3760621721903
2026-03-30,79.05950160155454,63.72419881958654,127.95872796827004
2026-03-31,78.87328512933999,63.65644302080401,128.1268859257821
